age,income,score,height,weight,category,city,education,description,comments,registration_date,last_activity,is_active,has_subscription
77,22686.704270326885,16.36838014653015,151.75559113323538,71.99660353695944,C,Houston,PhD,This is sample text description 64 with various content,Comment 64: Some feedback about the product or service,2025-05-11,2025-06-16 01:26:47,True,False
31,60082.13719381069,27.379130751410653,162.38354093861963,68.01635418814925,A,Chicago,Master,This is sample text description 65 with various content,Comment 65: Some feedback about the product or service,2024-11-22,2025-06-29 01:26:47,True,False
67,39935.25028668504,92.8317532848577,168.18224724117067,46.11784708308508,C,Phoenix,Master,This is sample text description 66 with various content,Comment 66: Some feedback about the product or service,2025-05-21,2025-06-11 01:26:47,True,True
75,70906.25586015222,67.59822755863554,171.73341423713555,83.11265375857485,D,Houston,High School,This is sample text description 67 with various content,Comment 67: Some feedback about the product or service,2025-04-30,2025-06-06 01:26:47,True,False
26,45282.80383698646,49.60478386798866,178.79176301434427,75.60652642140242,A,Chicago,High School,This is sample text description 68 with various content,Comment 68: Some feedback about the product or service,2024-12-21,2025-06-12 01:26:47,False,True
43,,1.2714889986893518,168.47800019642332,86.52935046096137,C,Houston,PhD,This is sample text description 69 with various content,Comment 69: Some feedback about the product or service,2025-02-14,2025-06-28 01:26:47,True,False
70,83658.52928745873,99.24154004894702,166.8404127355435,46.9186671358712,A,Houston,PhD,This is sample text description 70 with various content,Comment 70: Some feedback about the product or service,2024-08-17,2025-06-27 01:26:47,False,False
19,,67.14549348946433,181.0313070606974,77.60701734317902,A,Phoenix,Bachelor,This is sample text description 71 with various content,Comment 71: Some feedback about the product or service,2025-06-13,2025-06-22 01:26:47,True,False
37,65720.67911424165,31.692247734494494,176.61995567063306,66.48010993680155,A,Chicago,PhD,This is sample text description 72 with various content,Comment 72: Some feedback about the product or service,2025-04-03,2025-07-01 01:26:47,True,True
45,,87.92686599978381,175.38977975701098,72.15682014888294,A,New York,Master,This is sample text description 73 with various content,Comment 73: Some feedback about the product or service,2024-11-06,2025-06-06 01:26:47,True,True
64,42506.77343287712,25.84316202918181,171.12515711588114,66.65260548728664,C,Los Angeles,Bachelor,This is sample text description 74 with various content,Comment 74: Some feedback about the product or service,2024-11-11,2025-06-15 01:26:47,True,False
77,33626.4602936284,54.40165791827516,179.8315221091986,78.15411891220195,A,Phoenix,Bachelor,This is sample text description 75 with various content,Comment 75: Some feedback about the product or service,2025-05-13,2025-06-17 01:26:47,False,True
24,37495.23632892887,63.607076372982505,163.43690608769734,67.5569031851263,A,Chicago,Bachelor,This is sample text description 76 with various content,Comment 76: Some feedback about the product or service,2025-02-18,2025-06-15 01:26:47,False,False
61,44527.80512992063,22.106337145372844,162.0730571781392,54.22127612416466,A,Houston,,This is sample text description 77 with various content,Comment 77: Some feedback about the product or service,2024-08-07,2025-06-20 01:26:47,True,False
78,89285.059339898,97.83972788005958,177.46100986869325,71.29638128179286,A,Chicago,PhD,This is sample text description 78 with various content,Comment 78: Some feedback about the product or service,2024-10-07,2025-06-12 01:26:47,True,False
25,46055.566582929525,74.81919059789975,153.7496403075309,66.7873819429675,A,Los Angeles,,This is sample text description 79 with various content,Comment 79: Some feedback about the product or service,2025-05-26,2025-06-24 01:26:47,True,True
64,25478.939916037947,55.781322551106996,170.92179509636486,68.74909568306674,B,Los Angeles,High School,This is sample text description 80 with various content,Comment 80: Some feedback about the product or service,2025-03-30,2025-06-15 01:26:47,True,False
52,50833.30534250766,18.059459817530087,166.83441647737487,22.182827859397854,A,New York,High School,This is sample text description 81 with various content,Comment 81: Some feedback about the product or service,2025-01-04,2025-07-02 01:26:47,True,False
31,53562.56851522129,5.385820699802613,155.94245269347044,80.23954125353058,C,New York,Bachelor,This is sample text description 82 with various content,Comment 82: Some feedback about the product or service,2025-02-28,2025-06-28 01:26:47,True,False
34,,32.005983252098346,160.68732420283735,65.28004573979828,C,Los Angeles,Bachelor,This is sample text description 83 with various content,Comment 83: Some feedback about the product or service,2024-11-19,2025-06-29 01:26:47,False,True
53,65993.82445170415,75.31873359134028,168.9102390770465,49.77769638972602,A,Phoenix,Master,This is sample text description 84 with various content,Comment 84: Some feedback about the product or service,2024-08-23,2025-06-21 01:26:47,True,True
67,51380.11022718067,26.933129830202507,180.33963256499024,83.83845275272213,C,Phoenix,Bachelor,This is sample text description 85 with various content,Comment 85: Some feedback about the product or service,2025-04-11,2025-06-06 01:26:47,False,True
57,65374.54984294658,53.95562204955051,163.4704200874219,79.54548591629396,A,Houston,Master,This is sample text description 86 with various content,Comment 86: Some feedback about the product or service,2024-10-23,2025-06-06 01:26:47,False,True
21,,72.79471767307432,182.13381399904995,65.09019705587716,A,New York,Bachelor,This is sample text description 87 with various content,Comment 87: Some feedback about the product or service,2024-12-09,2025-06-30 01:26:47,False,False
19,85614.58876290446,10.794371464646435,170.63179227556518,52.71745930719972,A,Houston,Bachelor,This is sample text description 88 with various content,Comment 88: Some feedback about the product or service,2024-12-03,2025-07-01 01:26:47,True,False
79,55049.5957668717,68.52980161158733,183.10384702169972,72.67046102019059,A,New York,PhD,This is sample text description 89 with various content,Comment 89: Some feedback about the product or service,2025-03-28,2025-06-22 01:26:47,True,True
23,58004.379408140754,9.18708877100447,163.9550839121995,71.84659126881414,B,Los Angeles,Bachelor,This is sample text description 90 with various content,Comment 90: Some feedback about the product or service,2025-05-18,2025-06-15 01:26:47,True,False
71,34309.76212373395,96.51297421269966,169.51190411894632,83.86501424487673,C,Phoenix,Bachelor,This is sample text description 91 with various content,Comment 91: Some feedback about the product or service,2024-12-17,2025-06-23 01:26:47,True,True
59,59436.53982532792,48.839413006493956,173.68483603336995,63.343967277092645,A,Phoenix,Master,This is sample text description 92 with various content,Comment 92: Some feedback about the product or service,2024-10-21,2025-06-26 01:26:47,True,True
21,,15.067610770987738,168.20489537258487,87.92383202297495,C,Los Angeles,Master,This is sample text description 93 with various content,Comment 93: Some feedback about the product or service,2025-01-09,2025-06-18 01:26:47,False,True
71,26604.6313234982,34.23836360335465,179.53024147145237,61.89620494996349,A,Houston,PhD,This is sample text description 94 with various content,Comment 94: Some feedback about the product or service,2024-11-03,2025-06-07 01:26:47,False,True
46,16818.16823224687,41.34164492952615,147.92436274709735,49.81252323186367,C,Houston,Bachelor,This is sample text description 95 with various content,Comment 95: Some feedback about the product or service,2025-03-05,2025-07-02 01:26:47,False,False
35,55873.32047218931,75.81850110765373,194.2240553878994,53.015758667840785,A,Chicago,Bachelor,This is sample text description 96 with various content,Comment 96: Some feedback about the product or service,2024-07-29,2025-06-28 01:26:47,False,True
43,40224.60353088935,74.34237860766093,178.57774606995162,69.06382691296577,A,New York,Master,This is sample text description 97 with various content,Comment 97: Some feedback about the product or service,2025-01-16,2025-06-12 01:26:47,True,False
61,55198.42938271459,61.194050533733105,168.26468170964984,69.01728236411901,A,Houston,High School,This is sample text description 98 with various content,Comment 98: Some feedback about the product or service,2024-08-07,2025-06-25 01:26:47,True,False
51,24179.2785820377,10.593071255849296,164.47678326422655,74.91791711126164,A,Los Angeles,High School,This is sample text description 99 with various content,Comment 99: Some feedback about the product or service,2025-02-20,2025-06-19 01:26:47,True,False
27,18789.881712346585,15.15693715876736,161.33579388551445,68.64438953322338,B,Houston,High School,This is sample text description 100 with various content,Comment 100: Some feedback about the product or service,2025-05-08,2025-06-18 01:26:47,True,True
79,54133.78926002154,9.375692064555663,176.45615474169736,84.65977774096494,C,Phoenix,,This is sample text description 101 with various content,Comment 101: Some feedback about the product or service,2024-12-25,2025-06-15 01:26:47,False,True
53,43004.32478086295,57.71727832875501,179.94981668792354,66.08358852306135,A,New York,Master,This is sample text description 102 with various content,Comment 102: Some feedback about the product or service,2024-10-11,2025-06-11 01:26:47,True,True
31,7786.009576996432,87.71384415114039,168.374738718701,40.05585602692876,C,Chicago,High School,This is sample text description 103 with various content,Comment 103: Some feedback about the product or service,2024-10-19,2025-06-10 01:26:47,True,False
48,76861.97636215459,43.38005122547718,181.06990412978502,68.18354967301309,B,New York,High School,This is sample text description 104 with various content,Comment 104: Some feedback about the product or service,2025-04-02,2025-06-25 01:26:47,True,True
65,23846.858636324854,16.08481739577462,160.9273995323888,39.89831968350278,C,Phoenix,Bachelor,This is sample text description 105 with various content,Comment 105: Some feedback about the product or service,2025-03-03,2025-06-20 01:26:47,True,False
32,101466.49904220864,55.804232514896704,159.16189150013165,74.07086471496547,A,Phoenix,Master,This is sample text description 106 with various content,Comment 106: Some feedback about the product or service,2025-05-26,2025-06-24 01:26:47,True,False
25,37519.66542222843,81.17522168657099,188.1334120524555,85.85789498477374,B,Phoenix,Master,This is sample text description 107 with various content,Comment 107: Some feedback about the product or service,2024-10-25,2025-06-23 01:26:47,False,False
31,58031.21136251997,74.171206151293,175.91108613538543,55.20663270576221,D,Phoenix,,This is sample text description 108 with various content,Comment 108: Some feedback about the product or service,2025-06-29,2025-06-09 01:26:47,True,False
40,82938.9802077437,88.14507796750213,183.96848201813327,91.27835029587776,B,Los Angeles,High School,This is sample text description 109 with various content,Comment 109: Some feedback about the product or service,2024-12-02,2025-06-20 01:26:47,True,True
77,79588.6785565765,27.790209724886783,161.46060291612307,82.64246867092646,A,Chicago,PhD,This is sample text description 110 with various content,Comment 110: Some feedback about the product or service,2025-04-28,2025-06-13 01:26:47,True,False
74,89722.72812453765,19.395386726777485,160.7647460823127,88.09720233122582,A,Phoenix,Master,This is sample text description 111 with various content,Comment 111: Some feedback about the product or service,2025-04-28,2025-06-10 01:26:47,True,False
79,19538.475222392935,87.98164859419387,166.41390680542457,72.84345784651947,A,Phoenix,PhD,This is sample text description 112 with various content,Comment 112: Some feedback about the product or service,2025-04-16,2025-06-15 01:26:47,True,False
57,27282.690049855057,65.75603127780231,161.7594115846099,55.10852236372269,B,Houston,Bachelor,This is sample text description 113 with various content,Comment 113: Some feedback about the product or service,2025-06-06,2025-07-05 01:26:47,False,False
38,54519.9454818806,31.092893000755417,177.0536521022845,81.71223141721207,C,Chicago,PhD,This is sample text description 114 with various content,Comment 114: Some feedback about the product or service,2025-04-24,2025-06-20 01:26:47,True,False
33,66794.94875795428,74.23480505725092,162.48873943073554,60.630986398474896,A,New York,High School,This is sample text description 115 with various content,Comment 115: Some feedback about the product or service,2024-10-17,2025-06-21 01:26:47,True,True
62,49775.45113240724,81.51183844803678,158.2833014193271,71.76826759155033,B,Chicago,Master,This is sample text description 116 with various content,Comment 116: Some feedback about the product or service,2025-04-08,2025-06-30 01:26:47,True,True
35,17240.119285732224,61.497824034113236,171.42015412255233,67.42973510794572,B,Chicago,Master,This is sample text description 117 with various content,Comment 117: Some feedback about the product or service,2024-12-10,2025-06-24 01:26:47,True,True
64,59931.56317929598,68.78841098799151,157.10013824174786,86.87043785195344,B,Chicago,PhD,This is sample text description 118 with various content,Comment 118: Some feedback about the product or service,2024-12-05,2025-06-28 01:26:47,True,True
70,46114.97223531931,37.52599044426663,152.0053606852461,80.95490508884994,B,Phoenix,PhD,This is sample text description 119 with various content,Comment 119: Some feedback about the product or service,2024-08-18,2025-06-29 01:26:47,True,True
41,45875.22082088267,53.86956673430391,171.33257233861278,68.79151302531444,C,Phoenix,Bachelor,This is sample text description 120 with various content,Comment 120: Some feedback about the product or service,2024-10-13,2025-07-04 01:26:47,True,False
43,4440.991643788853,52.415917072616224,152.50779956989788,40.72589209689771,A,Los Angeles,Bachelor,This is sample text description 121 with various content,Comment 121: Some feedback about the product or service,2024-09-16,2025-06-24 01:26:47,False,False
42,,84.80477911307719,177.75279396295423,60.471588002061985,C,New York,High School,This is sample text description 122 with various content,Comment 122: Some feedback about the product or service,2024-12-11,2025-06-15 01:26:47,True,False
77,,83.99639802821825,156.04666273747205,80.56333434226626,A,Houston,High School,This is sample text description 123 with various content,Comment 123: Some feedback about the product or service,2024-08-07,2025-06-22 01:26:47,True,False
77,85903.29113277927,83.26804693470432,147.59326213580252,74.20165391569877,A,Chicago,High School,This is sample text description 124 with various content,Comment 124: Some feedback about the product or service,2025-04-20,2025-06-20 01:26:47,True,False
77,,1.1031614262465794,167.06203349859206,47.45167098380708,A,New York,PhD,This is sample text description 125 with various content,Comment 125: Some feedback about the product or service,2024-09-21,2025-06-25 01:26:47,True,True
62,61326.802610380444,74.95454844688882,171.44594503296486,42.90118041296667,A,New York,PhD,This is sample text description 126 with various content,Comment 126: Some feedback about the product or service,2025-05-20,2025-06-16 01:26:47,False,True
58,66636.36352210525,75.86763901110048,174.9147506368194,72.93263725236184,A,Los Angeles,Master,This is sample text description 127 with various content,Comment 127: Some feedback about the product or service,2025-03-18,2025-06-27 01:26:47,False,False
46,15076.768826776177,67.83788228551418,171.72015699015853,54.144142484263355,A,Houston,High School,This is sample text description 128 with various content,Comment 128: Some feedback about the product or service,2024-12-18,2025-06-26 01:26:47,True,True
32,102333.99893203186,75.62646578914526,159.40687378882257,55.58805308743634,C,Chicago,PhD,This is sample text description 129 with various content,Comment 129: Some feedback about the product or service,2024-12-08,2025-06-19 01:26:47,False,True
62,41384.152241547665,84.19703714967088,177.13061180926604,80.08911593173981,A,Houston,Master,This is sample text description 130 with various content,Comment 130: Some feedback about the product or service,2025-02-02,2025-06-24 01:26:47,False,True
18,598913.3204284969,47.03190541017857,179.60138506479746,88.03358170623511,C,Los Angeles,High School,This is sample text description 131 with various content,Comment 131: Some feedback about the product or service,2025-06-26,2025-06-30 01:26:47,False,True
42,62811.64013898303,50.20502134884472,157.94237871544462,58.73946959445553,A,Phoenix,Bachelor,This is sample text description 132 with various content,Comment 132: Some feedback about the product or service,2024-07-18,2025-06-17 01:26:47,True,False
24,,12.471405691139047,168.18993861340385,69.3285953858174,D,New York,Bachelor,This is sample text description 133 with various content,Comment 133: Some feedback about the product or service,2025-01-30,2025-06-25 01:26:47,True,False
26,86939.60662895205,38.53758830473618,167.2555997289098,68.88630001023459,C,Chicago,PhD,This is sample text description 134 with various content,Comment 134: Some feedback about the product or service,2024-10-18,2025-06-27 01:26:47,True,False
41,55319.105387088646,64.33651799117843,172.20381582788033,67.53693842955225,A,Phoenix,Master,This is sample text description 135 with various content,Comment 135: Some feedback about the product or service,2025-04-20,2025-06-15 01:26:47,False,False
18,45730.547261853324,78.03997761472745,167.9507620822589,70.60897714234449,C,Los Angeles,Bachelor,This is sample text description 136 with various content,Comment 136: Some feedback about the product or service,2024-10-22,2025-06-07 01:26:47,True,True
61,52770.15924776885,21.720909769121054,169.32122227927024,81.34748391760235,B,Houston,Master,This is sample text description 137 with various content,Comment 137: Some feedback about the product or service,2025-02-25,2025-06-30 01:26:47,True,True
25,,13.78228991592354,176.41815530241692,59.89113479905607,C,New York,Master,This is sample text description 138 with various content,Comment 138: Some feedback about the product or service,2025-04-30,2025-06-09 01:26:47,True,True
41,50215.963296194,66.30420045004922,158.86146900398867,47.12083698225901,B,Chicago,,This is sample text description 139 with various content,Comment 139: Some feedback about the product or service,2024-11-20,2025-06-11 01:26:47,True,True
28,67638.59820766479,0.18798835249106416,177.37373135260825,95.3501490040564,B,Phoenix,Master,This is sample text description 140 with various content,Comment 140: Some feedback about the product or service,2025-01-24,2025-06-11 01:26:47,True,False
68,16302.557220645213,17.837258430732984,181.41132731531252,86.34132886735075,C,Phoenix,Bachelor,This is sample text description 141 with various content,Comment 141: Some feedback about the product or service,2025-06-21,2025-06-12 01:26:47,False,False
